"Race and Hispanic origin of householder
and year",Number (thousands),Total percent,"percent Under $15,000","percent $15,000
to
$24,999","percent $25,000
to
$34,999","percent $35,000
to
$49,999","percent $50,000
to
$74,999","percent $75,000
to
$99,999","percent $100,000
to
$149,999","percent $150,000
to
$199,999","percent $200,000 and over",Median income Estimate (Dollars),median Margin of error1 (±),Mean income Estimate,mean Margin of error1 (±),race
2007,"13,339",100,12.5,12.3,11.5,16.6,18.6,11.9,10.5,3.5,2.6,"47,809","1,057","62,826","1,088",HISPANIC (ANY RACE)
2006,"12,973",100,12.1,11.5,12.2,15.8,19.5,11.5,10.8,4,2.7,"48,023","1,056","64,286","1,213",HISPANIC (ANY RACE)
2005,"12,519",100,12.4,12,12.3,16.5,19.2,11.5,9.9,3.5,2.6,"47,200",771,"61,859","1,023",HISPANIC (ANY RACE)
2004 7,"12,178",100,12.7,12,13.2,15.7,19.5,10.5,10.4,3.4,2.6,"46,497","1,071","62,244","1,252",HISPANIC (ANY RACE)
2003,"11,693",100,12.3,12,13.3,16,18.7,11.2,10.5,3.2,2.8,"45,978","1,052","61,962","1,128",HISPANIC (ANY RACE)
2002,"11,339",100,12,11.8,11.9,17.3,18.4,11.8,10.7,3.4,2.7,"47,174","1,130","63,967","1,407",HISPANIC (ANY RACE)
2001,"10,499",100,11.4,12.6,11.5,16,19.4,11.6,11.2,3.6,2.7,"48,586","1,014","64,245","1,336",HISPANIC (ANY RACE)
2000 8,"10,034",100,11.3,11.9,11.6,15.9,20,12.3,11.1,3.3,2.7,"49,378","1,171","65,471","1,550",HISPANIC (ANY RACE)
1999 9,"9,579",100,11.5,13.4,11.3,16.9,18.9,11.2,11.1,3.1,2.5,"47,326","1,132","62,170","1,815",HISPANIC (ANY RACE)
1998,"9,060",100,14.2,13.7,11.9,16.2,18.1,11.3,9.3,3.2,2.2,"44,535","1,412","60,177","2,105",HISPANIC (ANY RACE)
1997,"8,590",100,15.7,13.9,12.2,16.1,18.5,10.2,8.6,2.7,2.1,"42,427","1,245","57,173","1,898",HISPANIC (ANY RACE)
1996,"8,225",100,15.7,15.1,13.1,15.9,17.6,10.1,8.3,2.4,1.8,"40,541","1,293","55,352","2,107",HISPANIC (ANY RACE)
1995 10,"7,939",100,17.4,14.6,14.1,15.4,17.1,9.9,7.7,2.2,1.4,"38,201","1,369","52,140","1,924",HISPANIC (ANY RACE)
1994 11,"7,735",100,17.7,14.4,12.4,15.8,17.6,9.4,8.5,2.3,1.8,"40,082","1,225","54,048","2,218",HISPANIC (ANY RACE)
1993 12,"7,362",100,16.3,14.8,13.6,16.2,18.2,9.2,8.5,1.9,1.4,"39,984","1,322","52,921","1,831",HISPANIC (ANY RACE)
1992 13,"7,153",100,16.6,14,13.4,16.1,18.4,10.2,7.8,2.4,1.1,"40,475","1,376","51,625","1,335",HISPANIC (ANY RACE)
1991,"6,379",100,16,13.8,12.8,16,18.7,10.6,8.3,2.2,1.5,"41,654","1,425","53,000","1,395",HISPANIC (ANY RACE)
1990,"6,220",100,15.5,15,11.8,15.8,19.5,10.6,8.1,2.1,1.5,"42,482","1,433","53,216","1,443",HISPANIC (ANY RACE)
1989,"5,933",100,15.7,12.4,12,16,18.6,11.7,9.4,2.6,1.6,"43,761","1,396","55,880","1,580",HISPANIC (ANY RACE)
1988,"5,910",100,16.5,12.4,13.4,15,18.8,11.8,8.1,2.3,1.6,"42,419","1,769","54,158","1,889",HISPANIC (ANY RACE)
1987 14,"5,642",100,16.7,14,12.6,15.9,17.4,11.2,8.3,2.3,1.5,"41,743","1,492","53,509","1,630",HISPANIC (ANY RACE)
1986,"5,418",100,16.4,14.3,13,15.4,18.5,10.7,8.7,2.2,0.9,"40,982","1,756","51,748","1,400",HISPANIC (ANY RACE)
1985 15,"5,213",100,17,15.7,12.1,15.8,18.8,10.1,8.1,1.6,0.8,"39,684","1,525","49,586","1,327",HISPANIC (ANY RACE)
1984 16,"4,883",100,17.8,14.3,12.3,15.3,19.8,10.7,7.3,1.8,0.8,"39,934","1,647","49,657","1,593",HISPANIC (ANY RACE)
1983,"4,326",100,18.4,14.8,12.7,16.4,19,9.5,7.2,1.4,0.5,"38,938","1,623","47,415","1,498",HISPANIC (ANY RACE)
1982,"4,085",100,17.2,15.2,13.3,16.6,18.8,9.9,6.9,1.1,0.9,"38,742","1,684","47,814","1,596",HISPANIC (ANY RACE)
1981,"3,980",100,15.3,13.8,13.4,17.1,20.3,10.5,7.6,1.3,0.7,"41,412","1,866","49,730","1,563",HISPANIC (ANY RACE)
1980,"3,906",100,15.9,14,13.4,17,19.6,11.2,6.6,1.4,0.7,"40,437","1,803","49,392","1,618",HISPANIC (ANY RACE)
1979 17,"3,684",100,14.4,12.9,13.2,16.8,21.4,10.9,7.8,1.6,0.9,"42,960","2,037","51,979","1,718",HISPANIC (ANY RACE)
1978,"3,291",100,13.9,13.3,12.9,18.6,20.7,12,6.7,1.4,0.6,"42,565","1,697","50,279","1,673",HISPANIC (ANY RACE)
1977,"3,304",100,13.7,14.8,14.1,18.2,20.8,10.6,6,1.4,0.4,"41,030","1,185","48,421","1,230",HISPANIC (ANY RACE)
1976 18,"3,081",100,16.2,15.3,13.6,18.1,20,10.3,5.1,1.1,0.3,"39,203","1,375","46,327","1,240",HISPANIC (ANY RACE)
1975 19,"2,948",100,16.4,14.7,15,17.5,21.5,8.9,4.7,0.8,0.5,"38,408","1,397","45,596","1,333",HISPANIC (ANY RACE)
"1974 19, 20","2,897",100,13,15.4,13.8,18,22.1,10.4,5.7,1.1,0.5,"41,757","1,504","48,373","1,296",HISPANIC (ANY RACE)
1973,"2,722",100,12.2,14.2,14,18.8,22.3,11.4,5.8,0.9,0.4,"42,003","1,570","48,801","1,307",HISPANIC (ANY RACE)
1972 21,"2,655",100,11.9,16,13.5,20.6,22.1,9.5,4.8,0.9,0.6,"42,073","1,352","48,359","1,352",HISPANIC (ANY RACE)
